Attachmentname,Slot,WeaponUnlock,Points
"18"" US-LB",Barrel,SOR-556 MK2,15
"18"" Custom",Barrel,SOR-556 MK2,10
"14.5"" Factory",Barrel,SOR-556 MK2,15
Magwell Flare,Ergonomics,SOR-556 MK2,10
Match Trigger,Ergonomics,SOR-556 MK2,15
20RND Fast Mag,Magazine,SOR-556 MK2,5
20RND Magazine,Magazine,SOR-556 MK2,5
30RND Fast Mag,Magazine,SOR-556 MK2,10
30RND Magazine,Magazine,SOR-556 MK2,5
36RND Magazine,Magazine,SOR-556 MK2,15
40RND Fast Mag,Magazine,SOR-556 MK2,30
40RND Magazine,Magazine,SOR-556 MK2,25
45RND Fast Mag,Magazine,SOR-556 MK2,40
45RND Magazine,Magazine,SOR-556 MK2,35
Compensated Brake,Muzzle,SOR-556 MK2,20
CQB Suppressor,Muzzle,SOR-556 MK2,30
Double-Port Brake,Muzzle,SOR-556 MK2,10
Flash Hider,Muzzle,SOR-556 MK2,10
Lightened Suppressor,Muzzle,SOR-556 MK2,30
Linear Comp,Muzzle,SOR-556 MK2,10
Long Suppressor,Muzzle,SOR-556 MK2,30
Single-Port Brake,Muzzle,SOR-556 MK2,5
Standard Suppressor,Muzzle,SOR-556 MK2,20
Canted Iron Sights,Optic Accessory,SOR-556 MK2,5
Canted Reflex,Optic Accessory,SOR-556 MK2,10
Flashlight,Right Accessory,SOR-556 MK2,10
Iron Sights,Scope,SOR-556 MK2,5
MINI FLEX 1.00X,Scope,SOR-556 MK2,10
R-MR 1.00X,Scope,SOR-556 MK2,10
OSA-7 1.00x,Scope,SOR-556 MK2,10
CQ RDS 1.25X,Scope,SOR-556 MK2,10
RO-S 1.25X,Scope,SOR-556 MK2,10
2PRO 1.25X,Scope,SOR-556 MK2,10
ROX 1.50X,Scope,SOR-556 MK2,10
SU-123 1.50X,Scope,SOR-556 MK2,10
1P87 1.50X,Scope,SOR-556 MK2,10
A-P2 1.75X,Scope,SOR-556 MK2,10
RO-M 1.75x,Scope,SOR-556 MK2,10
3VZR 1.75X,Scope,SOR-556 MK2,10
CCO 2.00x,Scope,SOR-556 MK2,10
R4T 2.00X,Scope,SOR-556 MK2,10
BF-2M 2.50x,Scope,SOR-556 MK2,10
BAKER 3.00X,Scope,SOR-556 MK2,10
SDO 3.50X,Scope,SOR-556 MK2,10
PVQ-31 4.00x,Scope,SOR-556 MK2,10
LDS 4.50X,Scope,SOR-556 MK2,10
ST PRISIM 5.00X,Scope,SOR-556 MK2,10
SF-G2 5.00X,Scope,SOR-556 MK2,10
NGFC LPVO,Scope,SOR-556 MK2,25
MC-CO LPVO,Scope,SOR-556 MK2,25
DVO LPVO,Scope,SOR-556 MK2,25
GRIM 1.50X,Scope,SOR-556 MK2,25
PAS-35 3.00X,Scope,SOR-556 MK2,25
5 MW Red,Top Accessory,SOR-556 MK2,10
5 MW Green,Top Accessory,SOR-556 MK2,10
50 MW Green,Top Accessory,SOR-556 MK2,20
50 MW Blue,Top Accessory,SOR-556 MK2,20
120 MW Blue,Top Accessory,SOR-556 MK2,30
6H64 Vertical,Underbarrel,SOR-556 MK2,25
Adjustable Angled,Underbarrel,SOR-556 MK2,15
Alloy Vertical,Underbarrel,SOR-556 MK2,20
Bipod,Underbarrel,SOR-556 MK2,10
Canted Stubby,Underbarrel,SOR-556 MK2,30
Classic Grip Pod,Underbarrel,SOR-556 MK2,30
Classic Vertical,Underbarrel,SOR-556 MK2,35
Folding Stubby,Underbarrel,SOR-556 MK2,20
Folding Vertical,Underbarrel,SOR-556 MK2,10
Full Angled,Underbarrel,SOR-556 MK2,25
Low-Profile Stubby,Underbarrel,SOR-556 MK2,45
PTT Grip Pod,Underbarrel,SOR-556 MK2,20
QD Grip Pod,Underbarrel,SOR-556 MK2,30
Ribbed Stubby,Underbarrel,SOR-556 MK2,30
Ribbed Vertical,Underbarrel,SOR-556 MK2,20
Slim Angled,Underbarrel,SOR-556 MK2,25
Stippled Stubby,Underbarrel,SOR-556 MK2,35
Underslung Mount,Underbarrel,SOR-556 MK2,10
FMJ,Ammunition,SV-98,5
Tungsten Core,Ammunition,SV-98,5
Match Grade,Ammunition,SV-98,10
Frangible,Ammunition,SV-98,20
650MM Factory,Barrel,SV-98,10
730MM 3LR,Barrel,SV-98,15
514MM Carbine,Barrel,SV-98,15
650MM Fluted,Barrel,SV-98,20
Improved Mag Catch,Ergonomics,SV-98,5
DLC Bolt,Ergonomics,SV-98,30
Flashlight,Left Accessory,SV-98,10
Range Finder,Left Accessory,SV-98,15
10RND Magazine,Magazine,SV-98,5
Compensated Brake,Muzzle,SV-98,20
Double-Port Brake,Muzzle,SV-98,10
Long Suppressor,Muzzle,SV-98,30
Thread Protector,Muzzle,SV-98,5
Canted Iron Sights,Optic Accessory,SV-98,5
Canted Reflex,Optic Accessory,SV-98,10
Adjustable Magnification 2.00X,Optic Accessory,SV-98,10
Adjustable Magnification 3.00X,Optic Accessory,SV-98,10
Adjustable Magnification 4.00X,Optic Accessory,SV-98,10
Anti-Glare Coating,Optic Accessory,SV-98,10
5 MW Red,Right Accessory,SV-98,10
5 MW Green,Right Accessory,SV-98,10
50 MW Green,Right Accessory,SV-98,20
50 MW Blue,Right Accessory,SV-98,20
120 MW Blue,Right Accessory,SV-98,30
Iron Sights,Scope,SV-98,15
MINI FLEX 1.00X,Scope,SV-98,10
R-MR 1.00X,Scope,SV-98,10
OSA-7 1.00x,Scope,SV-98,10
CQ RDS 1.25X,Scope,SV-98,10
RO-S 1.25X,Scope,SV-98,10
2PRO 1.25X,Scope,SV-98,10
ROX 1.50X,Scope,SV-98,10
1P87 1.50X,Scope,SV-98,10
A-P2 1.75X,Scope,SV-98,10
RO-M 1.75x,Scope,SV-98,10
SU-123 1.50X,Scope,SV-98,10
CCO 2.00x,Scope,SV-98,10
R4T 2.00X,Scope,SV-98,10
BF-2M 2.50x,Scope,SV-98,10
BAKER 3.00X,Scope,SV-98,10
SDO 3.50X,Scope,SV-98,10
PVQ-31 4.00x,Scope,SV-98,10
LDS 4.50X,Scope,SV-98,10
ST PRISIM 5.00X,Scope,SV-98,10
SF-G2 5.00X,Scope,SV-98,10
S-VPS 6.00X,Scope,SV-98,10
SSDS 6.00X,Scope,SV-98,10
NFX 8.00X,Scope,SV-98,10
LERT 8.00X,Scope,SV-98,10
R-VPS 10.00X,Scope,SV-98,10
MARS-F LPVO,Scope,SV-98,25
MC-CO LPVO,Scope,SV-98,25
DVO LPVO,Scope,SV-98,25
SM RIFLE VARIABLE,Scope,SV-98,25
1P88 VARIABLE,Scope,SV-98,25
3VZR 1.75X,Scope,SV-98,25
GRIM 1.50X,Scope,SV-98,25
PAS-35 3.00X,Scope,SV-98,25
TS-HD 6.00X,Scope,SV-98,25
Bipod,Underbarrel,SV-98,10
Classic Grip Pod,Underbarrel,SV-98,20
Full Angled,Underbarrel,SV-98,5
Low-Profile Stubby,Underbarrel,SV-98,10
QD Grip Pod,Underbarrel,SV-98,10
Slim Angled,Underbarrel,SV-98,15
FMJ,Ammunition,SVDM,5
Tungsten Core,Ammunition,SVDM,5
Match Grade,Ammunition,SVDM,10
Hollow Point,Ammunition,SVDM,20
Frangible,Ammunition,SVDM,20
565MM Para,Barrel,SVDM,10
620MM Classic,Barrel,SVDM,15
550MM Factory,Barrel,SVDM,15
565MM Fluted,Barrel,SVDM,20
Improved Mag Catch,Ergonomics,SVDM,5
Flashlight,Left Accessory,SVDM,10
Range Finder,Left Accessory,SVDM,15
10RND Fast Mag,Magazine,SVDM,10
10RND Magazine,Magazine,SVDM,5
20RND Magazine,Magazine,SVDM,45
5RND Fast Mag,Magazine,SVDM,5
Compensated Brake,Muzzle,SVDM,20
CQB Suppressor,Muzzle,SVDM,30
Double-Port Brake,Muzzle,SVDM,10
Flash Hider,Muzzle,SVDM,10
Lightened Suppressor,Muzzle,SVDM,30
Linear Comp,Muzzle,SVDM,10
Long Suppressor,Muzzle,SVDM,25
Single-Port Brake,Muzzle,SVDM,10
Standard Suppressor,Muzzle,SVDM,20
Canted Iron Sights,Optic Accessory,SVDM,5
Canted Reflex,Optic Accessory,SVDM,10
Piggyback Reflex,Optic Accessory,SVDM,10
5 MW Red,Right Accessory,SVDM,10
5 MW Green,Right Accessory,SVDM,10
50 MW Green,Right Accessory,SVDM,20
50 MW Blue,Right Accessory,SVDM,20
120 MW Blue,Right Accessory,SVDM,30
Iron Sights,Scope,SVDM,5
MINI FLEX 1.00X,Scope,SVDM,10
R-MR 1.00X,Scope,SVDM,10
OSA-7 1.00x,Scope,SVDM,10
CQ RDS 1.25X,Scope,SVDM,10
RO-S 1.25X,Scope,SVDM,10
2PRO 1.25X,Scope,SVDM,10
ROX 1.50X,Scope,SVDM,10
SU-123 1.50X,Scope,SVDM,10
1P87 1.50X,Scope,SVDM,10
A-P2 1.75X,Scope,SVDM,10
RO-M 1.75x,Scope,SVDM,10
3VZR 1.75X,Scope,SVDM,10
CCO 2.00x,Scope,SVDM,10
R4T 2.00X,Scope,SVDM,10
BF-2M 2.50x,Scope,SVDM,10
BAKER 3.00X,Scope,SVDM,10
SDO 3.50X,Scope,SVDM,10
PVQ-31 4.00x,Scope,SVDM,10
LDS 4.50X,Scope,SVDM,10
ST PRISIM 5.00X,Scope,SVDM,10
SF-G2 5.00X,Scope,SVDM,10
S-VPS 6.00X,Scope,SVDM,10
SSDS 6.00X,Scope,SVDM,10
NFX 8.00X,Scope,SVDM,10
LERT 8.00X,Scope,SVDM,10
R-VPS 10.00X,Scope,SVDM,10
MARS-F LPVO,Scope,SVDM,25
MC-CO LPVO,Scope,SVDM,25
DVO LPVO,Scope,SVDM,25
SM RIFLE VARIABLE,Scope,SVDM,25
1P88 VARIABLE,Scope,SVDM,25
GRIM 1.50X,Scope,SVDM,25
PAS-35 3.00X,Scope,SVDM,25
TS-HD 6.00X,Scope,SVDM,25
6H64 Vertical,Underbarrel,SVDM,25
Adjustable Angled,Underbarrel,SVDM,15
Alloy Vertical,Underbarrel,SVDM,20
Bipod,Underbarrel,SVDM,10
Canted Stubby,Underbarrel,SVDM,30
Classic Grip Pod,Underbarrel,SVDM,30
Classic Vertical,Underbarrel,SVDM,35
Folding Stubby,Underbarrel,SVDM,20
Folding Vertical,Underbarrel,SVDM,10
Full Angled,Underbarrel,SVDM,25
Low-Profile Stubby,Underbarrel,SVDM,45
PTT Grip Pod,Underbarrel,SVDM,20
QD Grip Pod,Underbarrel,SVDM,30
Ribbed Stubby,Underbarrel,SVDM,30
Ribbed Vertical,Underbarrel,SVDM,20
Slim Angled,Underbarrel,SVDM,25
Stippled Stubby,Underbarrel,SVDM,35
FMJ,Ammunition,SVK-8.6,5
Tungsten Core,Ammunition,SVK-8.6,5
Match Grade,Ammunition,SVK-8.6,10
Hollow Point,Ammunition,SVK-8.6,20
Frangible,Ammunition,SVK-8.6,20
560MM Cut,Barrel,SVK-8.6,10
560MM Factory,Barrel,SVK-8.6,15
457MM Urban,Barrel,SVK-8.6,15
Flashlight,Left Accessory,SVK-8.6,10
Range Finder,Left Accessory,SVK-8.6,15
10RND Fast Mag,Magazine,SVK-8.6,10
10RND Magazine,Magazine,SVK-8.6,5
Compensated Brake,Muzzle,SVK-8.6,20
CQB Suppressor,Muzzle,SVK-8.6,30
Flash Hider,Muzzle,SVK-8.6,10
Lightened Suppressor,Muzzle,SVK-8.6,30
Linear Comp,Muzzle,SVK-8.6,10
Long Suppressor,Muzzle,SVK-8.6,25
Single-Port Brake,Muzzle,SVK-8.6,10
Standard Suppressor,Muzzle,SVK-8.6,20
Triple-Port Brake,Muzzle,SVK-8.6,10
Canted Iron Sights,Optic Accessory,SVK-8.6,5
Canted Reflex,Optic Accessory,SVK-8.6,10
Iron Sights,Scope,SVK-8.6,5
MINI FLEX 1.00X,Scope,SVK-8.6,10
R-MR 1.00X,Scope,SVK-8.6,10
OSA-7 1.00x,Scope,SVK-8.6,10
CQ RDS 1.25X,Scope,SVK-8.6,10
RO-S 1.25X,Scope,SVK-8.6,10
2PRO 1.25X,Scope,SVK-8.6,10
ROX 1.50X,Scope,SVK-8.6,10
SU-123 1.50X,Scope,SVK-8.6,10
1P87 1.50X,Scope,SVK-8.6,10
A-P2 1.75X,Scope,SVK-8.6,10
RO-M 1.75x,Scope,SVK-8.6,10
3VZR 1.75X,Scope,SVK-8.6,10
CCO 2.00x,Scope,SVK-8.6,10
R4T 2.00X,Scope,SVK-8.6,10
BF-2M 2.50x,Scope,SVK-8.6,10
BAKER 3.00X,Scope,SVK-8.6,10
SDO 3.50X,Scope,SVK-8.6,10
PVQ-31 4.00x,Scope,SVK-8.6,10
LDS 4.50X,Scope,SVK-8.6,10
ST PRISIM 5.00X,Scope,SVK-8.6,10
SF-G2 5.00X,Scope,SVK-8.6,10
S-VPS 6.00X,Scope,SVK-8.6,10
SSDS 6.00X,Scope,SVK-8.6,10
NFX 8.00X,Scope,SVK-8.6,10
LERT 8.00X,Scope,SVK-8.6,10
R-VPS 10.00X,Scope,SVK-8.6,10
MARS-F LPVO,Scope,SVK-8.6,25
MC-CO LPVO,Scope,SVK-8.6,25
DVO LPVO,Scope,SVK-8.6,25
SM RIFLE VARIABLE,Scope,SVK-8.6,25
1P88 VARIABLE,Scope,SVK-8.6,25
GRIM 1.50X,Scope,SVK-8.6,25
PAS-35 3.00X,Scope,SVK-8.6,25
TS-HD 6.00X,Scope,SVK-8.6,25
5 MW Red,Top Accessory,SVK-8.6,10
5 MW Green,Top Accessory,SVK-8.6,10
50 MW Green,Top Accessory,SVK-8.6,20
50 MW Blue,Top Accessory,SVK-8.6,20
120 MW Blue,Top Accessory,SVK-8.6,30
6H64 Vertical,Underbarrel,SVK-8.6,25
Alloy Vertical,Underbarrel,SVK-8.6,20
Bipod,Underbarrel,SVK-8.6,10
Canted Stubby,Underbarrel,SVK-8.6,30
Classic Grip Pod,Underbarrel,SVK-8.6,30
Classic Vertical,Underbarrel,SVK-8.6,35
Folding Stubby,Underbarrel,SVK-8.6,20
Folding Vertical,Underbarrel,SVK-8.6,10
Full Angled,Underbarrel,SVK-8.6,25
Low-Profile Stubby,Underbarrel,SVK-8.6,45
PTT Grip Pod,Underbarrel,SVK-8.6,20
QD Grip Pod,Underbarrel,SVK-8.6,30
Ribbed Stubby,Underbarrel,SVK-8.6,30
Ribbed Vertical,Underbarrel,SVK-8.6,20
Slim Angled,Underbarrel,SVK-8.6,25
Stippled Stubby,Underbarrel,SVK-8.6,35
FMJ,Ammunition,TR-7,5
Tungsten Core,Ammunition,TR-7,5
Polymer Case,Ammunition,TR-7,10
Hollow Point,Ammunition,TR-7,20
Frangible,Ammunition,TR-7,20
"17"" Factory",Barrel,TR-7,10
"20"" Long",Barrel,TR-7,15
"17"" Cut",Barrel,TR-7,15
432MM Fluted,Barrel,TR-7,20
Improved Mag Catch,Ergonomics,TR-7,5
Match Trigger,Ergonomics,TR-7,15
10RND Fast Mag,Magazine,TR-7,5
15RND Magazine,Magazine,TR-7,5
20RND Fast Mag,Magazine,TR-7,10
20RND Magazine,Magazine,TR-7,5
25RND Fast Mag,Magazine,TR-7,25
25RND Magazine,Magazine,TR-7,20
30RND Magazine,Magazine,TR-7,40
Compensated Brake,Muzzle,TR-7,20
CQB Suppressor,Muzzle,TR-7,30
Double-Port Brake,Muzzle,TR-7,10
Flash Hider,Muzzle,TR-7,10
Lightened Suppressor,Muzzle,TR-7,30
Linear Comp,Muzzle,TR-7,10
Long Suppressor,Muzzle,TR-7,25
Single-Port Brake,Muzzle,TR-7,5
Standard Suppressor,Muzzle,TR-7,20
Canted Iron Sights,Optic Accessory,TR-7,5
Canted Reflex,Optic Accessory,TR-7,10
Flashlight,Right Accessory,TR-7,10
Iron Sights,Scope,TR-7,5
MINI FLEX 1.00X,Scope,TR-7,10
R-MR 1.00X,Scope,TR-7,10
OSA-7 1.00x,Scope,TR-7,10
CQ RDS 1.25X,Scope,TR-7,10
RO-S 1.25X,Scope,TR-7,10
2PRO 1.25X,Scope,TR-7,10
ROX 1.50X,Scope,TR-7,10
SU-123 1.50X,Scope,TR-7,10
1P87 1.50X,Scope,TR-7,10
A-P2 1.75X,Scope,TR-7,10
RO-M 1.75x,Scope,TR-7,10
3VZR 1.75X,Scope,TR-7,10
CCO 2.00x,Scope,TR-7,10
R4T 2.00X,Scope,TR-7,10
BF-2M 2.50x,Scope,TR-7,10
BAKER 3.00X,Scope,TR-7,10
SDO 3.50X,Scope,TR-7,10
PVQ-31 4.00x,Scope,TR-7,10
LDS 4.50X,Scope,TR-7,10
ST PRISIM 5.00X,Scope,TR-7,10
SF-G2 5.00X,Scope,TR-7,10
MARS-F LPVO,Scope,TR-7,25
MC-CO LPVO,Scope,TR-7,25
DVO LPVO,Scope,TR-7,25
GRIM 1.50X,Scope,TR-7,25
PAS-35 3.00X,Scope,TR-7,25
5 MW Red,Top Accessory,TR-7,10
5 MW Green,Top Accessory,TR-7,10
50 MW Green,Top Accessory,TR-7,20
50 MW Blue,Top Accessory,TR-7,20
120 MW Blue,Top Accessory,TR-7,30
6H64 Vertical,Underbarrel,TR-7,25
Alloy Vertical,Underbarrel,TR-7,20
Bipod,Underbarrel,TR-7,10
Canted Stubby,Underbarrel,TR-7,30
Classic Grip Pod,Underbarrel,TR-7,30
Classic Vertical,Underbarrel,TR-7,35
Folding Stubby,Underbarrel,TR-7,20
Folding Vertical,Underbarrel,TR-7,10
Low-Profile Stubby,Underbarrel,TR-7,45
PTT Grip Pod,Underbarrel,TR-7,20
QD Grip Pod,Underbarrel,TR-7,30
Ribbed Stubby,Underbarrel,TR-7,30
Ribbed Vertical,Underbarrel,TR-7,20
Stippled Stubby,Underbarrel,TR-7,35
FMJ,Ammunition,UMG-40,5
Tungsten Core,Ammunition,UMG-40,5
Hollow Point,Ammunition,UMG-40,20
Frangible,Ammunition,UMG-40,20
Synthetic Tip,Ammunition,UMG-40,30
200MM Factory,Barrel,UMG-40,10
200MM Custom-H,Barrel,UMG-40,10
305MM Custom,Barrel,UMG-40,15
305MM Custom-H,Barrel,UMG-40,10
200MM Fluted,Barrel,UMG-40,20
Flashlight,Left Accessory,UMG-40,10
25RND Fast Mag,Magazine,UMG-40,10
25RND Magazine,Magazine,UMG-40,5
30RND Fast Mag,Magazine,UMG-40,10
30RND Magazine,Magazine,UMG-40,5
36RND Magazine,Magazine,UMG-40,15
Compensated Brake,Muzzle,UMG-40,20
CQB Suppressor,Muzzle,UMG-40,30
Double-Port Brake,Muzzle,UMG-40,10
Flash Hider,Muzzle,UMG-40,10
Lightened Suppressor,Muzzle,UMG-40,30
Linear Comp,Muzzle,UMG-40,10
Long Suppressor,Muzzle,UMG-40,25
Standard Suppressor,Muzzle,UMG-40,20
Canted Iron Sights,Optic Accessory,UMG-40,5
Canted Reflex,Optic Accessory,UMG-40,10
5 MW Red,Right Accessory,UMG-40,10
5 MW Green,Right Accessory,UMG-40,10
50 MW Green,Right Accessory,UMG-40,20
50 MW Blue,Right Accessory,UMG-40,20
120 MW Blue,Right Accessory,UMG-40,30
Aperture Sight,Scope,UMG-40,5
CQB Sights,Scope,UMG-40,5
MINI FLEX 1.00X,Scope,UMG-40,10
R-MR 1.00X,Scope,UMG-40,10
OSA-7 1.00x,Scope,UMG-40,10
CQ RDS 1.25X,Scope,UMG-40,10
RO-S 1.25X,Scope,UMG-40,10
2PRO 1.25X,Scope,UMG-40,10
ROX 1.50X,Scope,UMG-40,10
SU-123 1.50X,Scope,UMG-40,10
1P87 1.50X,Scope,UMG-40,10
A-P2 1.75X,Scope,UMG-40,10
RO-M 1.75x,Scope,UMG-40,10
3VZR 1.75X,Scope,UMG-40,10
CCO 2.00x,Scope,UMG-40,10
R4T 2.00X,Scope,UMG-40,10
BF-2M 2.50x,Scope,UMG-40,10
BAKER 3.00X,Scope,UMG-40,10
SDO 3.50X,Scope,UMG-40,10
PVQ-31 4.00x,Scope,UMG-40,10
LDS 4.50X,Scope,UMG-40,10
ST PRISIM 5.00X,Scope,UMG-40,10
SF-G2 5.00X,Scope,UMG-40,10
MARS-F LPVO,Scope,UMG-40,25
GRIM 1.50X,Scope,UMG-40,25
PAS-35 3.00X,Scope,UMG-40,25
6H64 Vertical,Underbarrel,UMG-40,25
Alloy Vertical,Underbarrel,UMG-40,20
Canted Stubby,Underbarrel,UMG-40,30
Classic Vertical,Underbarrel,UMG-40,35
Compact Handstop,Underbarrel,UMG-40,10
Folding Stubby,Underbarrel,UMG-40,20
Folding Vertical,Underbarrel,UMG-40,10
Low-Profile Stubby,Underbarrel,UMG-40,45
Ribbed Stubby,Underbarrel,UMG-40,30
Ribbed Vertical,Underbarrel,UMG-40,20
Slim Angled,Underbarrel,UMG-40,20
Stippled Stubby,Underbarrel,UMG-40,35
FMJ,Ammunition,USG-90,5
Tungsten Core,Ammunition,USG-90,5
Polymer Case,Ammunition,USG-90,10
Hollow Point,Ammunition,USG-90,20
Frangible,Ammunition,USG-90,20
264MM Factory,Barrel,USG-90,10
264MM Prototype,Barrel,USG-90,10
407MM CIV-S,Barrel,USG-90,10
264MM Fluted,Barrel,USG-90,20
Improved Mag Catch,Ergonomics,USG-90,5
5 MW Red,Left Accessory,USG-90,10
5 MW Green,Left Accessory,USG-90,10
50 MW Green,Left Accessory,USG-90,20
50 MW Blue,Left Accessory,USG-90,20
120 MW Blue,Left Accessory,USG-90,30
50RND Magazine,Magazine,USG-90,5
Compensated Brake,Muzzle,USG-90,20
CQB Suppressor,Muzzle,USG-90,30
Double-Port Brake,Muzzle,USG-90,10
Flash Hider,Muzzle,USG-90,10
Lightened Suppressor,Muzzle,USG-90,30
Linear Comp,Muzzle,USG-90,10
Long Suppressor,Muzzle,USG-90,25
Single-Port Brake,Muzzle,USG-90,5
Standard Suppressor,Muzzle,USG-90,20
Canted Iron Sights,Optic Accessory,USG-90,5
Canted Reflex,Optic Accessory,USG-90,10
Flashlight,Right Accessory,USG-90,10
Iron Sights,Scope,USG-90,5
MINI FLEX 1.00X,Scope,USG-90,10
R-MR 1.00X,Scope,USG-90,10
OSA-7 1.00x,Scope,USG-90,10
CQ RDS 1.25X,Scope,USG-90,10
RO-S 1.25X,Scope,USG-90,10
2PRO 1.25X,Scope,USG-90,10
ROX 1.50X,Scope,USG-90,10
SU-123 1.50X,Scope,USG-90,10
1P87 1.50X,Scope,USG-90,10
A-P2 1.75X,Scope,USG-90,10
RO-M 1.75x,Scope,USG-90,10
3VZR 1.75X,Scope,USG-90,10
CCO 2.00x,Scope,USG-90,10
R4T 2.00X,Scope,USG-90,10
BF-2M 2.50x,Scope,USG-90,10
BAKER 3.00X,Scope,USG-90,10
SDO 3.50X,Scope,USG-90,10
PVQ-31 4.00x,Scope,USG-90,10
LDS 4.50X,Scope,USG-90,10
ST PRISIM 5.00X,Scope,USG-90,10
SF-G2 5.00X,Scope,USG-90,10
MARS-F LPVO,Scope,USG-90,25
GRIM 1.50X,Scope,USG-90,25
PAS-35 3.00X,Scope,USG-90,25
